drug,MACCS_fp,morgan_512_fp,morgan_1024_fp,pubchem_fp
Cefazolin,00000000100100000000000000000000000010000000010100101000000100001100001000011101110101001001101111111100111000110000010011111101001111001111101100101011011111111111110,00000100000000000000000000000001010000011100000000000000000001000000000000000000100000000100000000000000000000000000101000000000100000000010100000000000010000000011010000000000000000000010000000000000001000000000000000000000000000001101000001000001001000010000000000000000000000000100010010000011000000000100000000100000000000000100000001000100000100000000100010000000001000000010110000110110000000000000000000000010010110011000010000000000000000000000000010000000000000100000000000001011000000000000000000010000,0000010000000000000000000000000001000001110000000000000000000100000000000000000010000000010000000000000000000000000010100000000010000000000010000000000000000000001001000000000000000000001000000000000000100000000000000000000000000000110000000000000000000001000000000000000000000000010000001000001000000000010000000010000000000000010000000000010000000000000010000000000000000000001000000001011000000000000000000000000001010000000000000000000000000000000000001000000000000010000000000000101000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010000000001000000000000000000000010000000000000000000000000000000000000000000000001000001000001001000000000000000000000000000000000010000000001000000000000000000000000000000000000000001000000000100000000000010000000001000000000110000100000000000000000000000000010000010011000010000000000000000000000000000000000000000000000000000000011000000000000000000010000,1101110001110000000111001111111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000101100000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000111100000000000000000000000011110000001000001100000001000000000000000000000001100001010001100010111000010000001001000011100011000000001111100100000000010000010001010111000000010000001011111000101111100000000000001000000000001100000110101000010000000100100000001010101001000100000011001100000000000010000001000001001000100000010000010000000001000001000000001010000010000000000000000000000011110000000101011000000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefepime,00000000100100000000000010000010000010000000010101100000000000000100000100011111110111101101111111111110011010111001111111111011110101011110101100111111011111111111110,00001100000100000000000001000001110100011000000000000000000000010000000000000000100001000000001000000010000000000000000000000000100000000010010000010010000000000001000000000000000000010010000000000000001100000100010000000000000010000101000011010000000000010000000000000000000000001000000000000001000000000000000000100001000000000100000001000001000100000000110010000000001010000010010000110001000000100000000000000010010000010010000101000000100000000001000000000000000010100000000000001110000000000000000000010000,0000110000000000000000000100000001000001000000000000000000000000000000000000000010000100000000000000000000000000000000000000000010000000000000000001001000000000000000000000000000000000001000000000000000100000000000000000000000001000010100001001000000000001000000000000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000010000000000000000000001000000001000100000010000000000000000001000000001000010100000010000000000000000000000000001010000000000000100000000000000000000000000000000000000100000000000000000001100100001000000000000000000000010000000000000000000000000000001000000010000000000000000000000000000000000010010000000000000000000001000000000000000000010010000000000000000100000100010000000000000000000000000001000000000000000000000000000000000000001000000000000001000000000000000000000001000000000100000001000001000100000000010010000000001010000000010000100000000000000000000000000010000000010000000000000000000000000001000000000000000000000000000000000110000000000000000000010000,1101110001111000000111101110111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000101100000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010000000000000000000000000000001100001010001100010111010110000001101010001110011001000100111101100000010000000010001010110000000011000001011111001001111100000000001000000011110000101010010110000100001010001110010000000000001000100101011011100000100000010110001000001001100100100110000010000011000100001000010001010000010000000000000000000000010110000000101011000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefixime,00000000100100000000000010000000001010000000010100100000000000000100000110001111110111001101101111110110111001110000010111111011000111011111101100101011011111110111110,00100100000100000000000000001001000000011000000000000000000000000000000000000000110000000000000000000000000001000000000000000000100000000010010000010010000000000001000000001000000000110010000000000000010000000000010000000000010110000101000011000000010000010000000000000000000000001000000000000001000000000000000000100001000000000000000001000011000100000000100000000000000000000010010000110100000000000000000000000010010000011001100101000010100000000001000010000000000010100000000000001110000000000000000000010000,0000010000000000000000000000100000000001000000000000000000000000000000000000000011000000000000000000000000000000000000000000000010000000000000000001001000000000000000000000000000000000001000000000000000000000000000000000000000011000010100001000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000010000000000000000000001000000001010000000000000000000000000001000000000100010100000010000000000000001000000000000010000000000000100000000000000000000000000000100000000100000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010010000000000000000000001000000001000000000110010000000000000010000000000010000000000010000000000000001000000010000000000000000000000000000001000000000000001000000000000000000000001000000000000000001000001000100000000000000000000000000000000010000100000000000000000000000000010000000011000100000000010000000000001000000000000000010000000000000000110000000000000000000010000,1101110001110000000111101110111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010000001000000000000000000000001100001010001110010111010110000001101010000110011001000100111101100000010010000010001010110000000011001001011111001001111100000000100000000011110000101010010110000100001010001110010000100000001000100101011111100000100000010110001000101101100100100110000010000011000100001000010001010000010000000000000000000000010110000000101011000110010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefotaxime,00000000100100000000000010000000000010000000010100100000000000000100000100001111110111001101111111110110011001100000110111111011000101011111101100101111011111111111110,00001100000100000000000000000001010100011000000000000000000000000000000000000000100000000000000000000000000000000000000000000000100000000010010000010010000000000001000000000000000000010010000000000000000000000000010000000000000010001101000011000000001000010000000000000000000000001000000000000001000000000000000000100001000000000100001001000001000100000000110010000000001000000010010000110100000000100000000000000010010000011000000101000000100000000001000010000000000000100000000000001110000000001000000001010000,0000010000010000000000000000000001000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000001001000000000000000000000000000000000001000000000000000000000000000000000000000001000110100001000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000001000000001010000000010000000000000000001000000000000010100000010000000000000001000000000000010000000000000100000000000000000000000000000001000000100000000000000000001000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000000000000000001000000000000000000010010000000000000000000000000010000000000000000000100000001000000001000000000000000000000000000001000000000000001000000000000000000000001000000000100001001000001000100000000010010000000001000000000010000100000000000000000000000000010000000011000000000000000000000000001000000000000000000000000000000000110000000001000000001010000,1101110001111000000111101110111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010000001000000000000000000000001100001010001110010111010110000001101010001110011001000100111101100000010110000010001010110000000011000001011111001001111100000000000000000011110000101010010110000100001010001110010000000000001000100101011011100000100000010110001000001001100100100110000010000011100100001000010001011000010000000000000000000000010110000000101011000000110001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefoxitin,00000000100100000000000100000000000010000000010100100000000000000000000010001001010111001111110111110100111001111000010011110011000111001111101100101011111111111111110,00000100000000100000000000000001010010000100000000010010000000001000000000100010100000000000000000000000000000000000000000000000100000000010100010010000000000000001000000001000000000010000000000011000000000000001001000000000000000011100000001000000001000010000000010001000000000000000000000000001000000000000000010100000000001000100000001000000100100000000100010000000001000000000010100100100000000010000000000000010000000011000000000000000000000001000000010000000000000100000000000000011000000001000000000010000,0000000000000010000000000000000001001000010000000001000000000000100000000000000010000000000000000000000000000000000000000000000010000000000010000001000000000000000000000000100000000000000000000001100000000000000000000000000000000001100000000100000000000001000000001000000000000000000000000000000000000000000000000010000000000100000000000000000010000000000010000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000100000000000000000000000000000100000000000000000000000001000010000000000000000010000000000000000000100010000000000000000000000000000000000000000000000000000000000010000010000000000000000001000000000000000000010000000000000000000000000001001000000000000000000100000000000000001000000000000000001000000000000000000000000001000000000000000010000000000000000100000001000000000100000000000010000000001000000000010000100000000000010000000000000010000000011000000000000000000000001000000000000000000000000000000000000010000000001000000000010000,1101110001111000000111101100111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001001000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001000000001000000000000000000000001100000011001110010111010000000001101011001000001001100000111100000000000110000010001000110000000010001001011101001001011000000000100000001100000000100000000110000000001000000100000100100010001000000110011100100000000000110010010000101001100100001110101010000010110101001101011001110100010000000000000010000010010110000000001011100010111001000001110001100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefpodoxime,00000000100100000000000010000000000010000000010100100000000000000100000100001111110111101101111111110110011011100001010111111011000101011111101100101111011111111111110,00000100000100000000000000000001010100011000000000000000000000000100000000000000100000000000000000000000000000000000000000100000100000000010010000010010000000000001000000000000000000010010000000000000000000000000010000000000000010001101000011000000001000010000000000000000000000001000000000000001000000000000000000100001000000000100000001000001000100000000110010000000001000000010010000110100000000100000000000000010010000011000000101000000100000000001000010000000000000100000000000001110000001000000000000010000,0000010000000000000000000000000001000001000000000000000000000000010000000000000010000000000000000000000000000000000000000000000010000000000000000001001000000000000000000000000000000000001000000000000000000000000000000000000000001000110100001000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000001000000001010000000010000000000000000001000000000000010100000010000000000000001000000000000010000000000000100000000000000000000000000000000000000100000000000000000001000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010010000000000000000000001000000000000000000010010000000000000000000000000010000000000000000000100000001000000001000000000000000000000000000001000000000000001000000000000000000000001000000000100000001000001000100000000010010000000001000000000010000100000000000000000000000000010000000011000000000000000000000000001000000000000000000000000000000000110000001000000000000010000,1101110001111000000111001110111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010000001000000000000000000000001100001010001110010111010110000001101010001110011001000100111101100000010110000010001010110000000011000001011111001001111100000000000000000011110000101010010110000100001010001110010000000000001000100101011011100000100000010110001000001001100100100110000010000011100100001000010001010000010000000000000000000000010110000000101011000000110001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ceftazidime,00000000100100000000000010000000000010000000010101100000000000000110000110111111110111001101101111111110011000101000010111111111000101011111101101101111111111111111110,00000100000100000000000000000001110000011000000000000000001000001000000000000000100000000000000000000010000000000010000000000100100000000010010000010010000000000001000000000000000100010010000000000000001100000000110000000000001010000101000011010000000000010000000000000000000000001001000000000001000001000000000000100001000000001000001001000001000100000000100010000000001000000010010000110100100000000000000000000010011000010000000101000000110000000001000000000001000000100000000000001110000100000000000000010000,0000010000000000000000000000000001000001000000000000000000000000100000000000000010000000000000000000000000000000001000000000000010000000000000000001001000000000000000000000000000010001001000000000000000100000000010000000000000001000010100001001000000000001000000000000000000000000000100000000000000000000000000000010000000000000100000100000000000000000000010000000000000000000001000000001010010000000000000000000000001100000000000010100000010000000000000000000000100000010000000000000110000000000000000000000000000000000000100000000000000000001100000001000000000000000001000000000000000000000000000000000000000000010000000000000000000000100000000000010010000000000000000000001000000000000000000010010000000000000000100000000010000000000001000000000000001000000000000000000000000000000000000001000000000000001000001000000000000000001000000000000000001000001000100000000000010000000001000000000010000100000000000000000000000000010000000010000000000000000010000000001000000000000000000000000000000000110000100000000000000010000,1101110001111000000111101110111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000010110001000000000000000000000000000000000000000001000000000000000000000000000111100000000000000000000000011110000001000001010000001000000000000000000000001100011011001100010111010110000001001011111110011001100100111101110000010010000010001010110000000011001101011111011101111100000000101000001011110000101010010111000100001010001110010000100011011000101101011111100001100100110110001000101101100100111110101110000011010101101100011001010001110000000010000110000010010110000000101111100111001001001001100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ceftobiprole,00000000100100000000000010000000110010100000010100100100000000100101010100011111111111101111101111111110111000110000011111111001111101011111101100111011011011110111110,00100100000000000000000000001000000000010000000000000100001000000000000000000000000000000011000000000000000000100000010000100000100000100110011000010000000100000011000000001010000000100011000000000000001000001000010000000000000000000101000011000000000010010000000000000000000000001100100000000101000001001100000000100001000100000000000000010001000100000000100000000001000000100010010000110100000100000100000000000010010000011000100001000010100000000000000010000000000000100000000000001010000000001000000000010000,0000010000000000000000000000100000000001000000000000010000100000000000000000000000000000001100000000000000000010000000000010000010000010000000100001000000010000001000000000001000000000001100000000000000000000000000000000000000000000010000001000000000001001000000000000000000000000010010000000010000000100110000000010000000000000000000000000000100000000000010000000000000000000001000000001010000010000010000000000000001000000000000000100000010000000000000001000000000000010000000000000100000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000110010000000000000000000001000000001000000000100010000000000000001000001000010000000000000000000001000001000000000000000000000000000000000000001000000000000001000000000000000000000001000100000000000000010000000100000000000000000001000000100000010000100000000000000000000000000010000000011000100000000010000000000000000000000000000000000000000000000010000000000000000000010000,1101110001111000000111101111111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000101100010110000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010001001000000000000000000000001100001010001100010111000011000001001000000100011000000001111101100000010010000010001010110000000011001001111111001001111100000000001000000011010000000010010110000000000000101110010000000100001000100000011010100000000000010010001000101001001100000110000010000011000001001000000001010000010000000000000000000000010110000000101011100010010001100000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ceftriaxone,00000000100100000000000010000000000010000000010100101000000100001100010110011111110111001101111111110110011010100100010111111111001101011111101111101111011111111111110,00000100000100000000000000000001010100011000000000000000000000000000000000000000110000000110000000000000000000000000100001000000100000100010010000010010000000000001000000000000000000010010000000000000000000000000010000000000000010001101001011000000001000010001000000000100000000001000000000000001000000000000001000100001000000000100100001100101000100010000110010000000001000000010010000110100000000100000000000000011010000011000000101000000100000000001000010000000000000100000000000001110000000000000000000010000,0000010000000000000000000000000001000001000000000000000000000000000000000000000010000000011000000000000000000000000010000100000010000010000000000001001000000000000000000000000000000000001000000000000000000000000000000000000000001000110100001000000000000001000100000000010000000000000000000000000000000000000000100010000000000000010000000000010000000001000010000000000000000000001000000001010000000010000000000000000101000000000000010100000010000000000000001000000000000010000000000000100000000000000000000000000000000000000100000000000000000001000100001000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000010010000000000000000000001000000000000000000010010000000000000000000000000010000000000000000000001001001000000001000000000000000000000000000001000000000000001000000000000000000000001000000000100100001100001000100000000010010000000001000000000010000100000000000000000000000000010000000011000000000000000000000000001000000000000000000000000000000000110000000000000000000010000,1101110001111000000111101111111000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001011000000000000000000000000000000010000001000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001110000001000000000000000000000001100001010001100010111010110000001101010001110011001000100111111101000010010000010001010110000000011000001011111001001111100000000000000000011110000101010010110000100001010001110010001001100101000100101011011100000100000010110001000001001100100100110000010000011000100001000010001010000010000000000000000000000010110000000101011000000010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Cefuroxime,00000000100100000000000110000000000010000000010100100000010000000000000100001011010111001111111111110110011001100000010111111011000101001111101100101011111111111111110,00000100000000000000000000000000010100010010000000010000000000001000000000000000100000000000000000000000000001000000000000000000100010000010110010010000000000000001000000000000000000010010000000000000000000000100011000100000000000011100000001000000001000010000000000000000000100001000001000000001000000000000000000100000000000000100000001000000000100000000110010000000001000000000010000110110000000100000000000000010010000011000000100000000100000000000000010000000000000100010000000001011000000001000000000010000,0000010000000000000000000000000001000001001000000001000000000000100000000000000010000000000000000000000000000000000000000000000010000000000010000001000000000000000000000000000000000000001000000000000000000000010000000000000000000001110000000000000000000001000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000001010000000010000000000000000001000000000000010000000010000000000000001000000000000010001000000000100100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000010010010000000000000000001000000000000000000010010000000000000000000000000011000100000000000000100000001000000001000000000000000000000000100001000000000000001000000000000000000000000000000000100000001000000000100000000010010000000001000000000010000100010000000000000000000000010000000011000000000000000000000000000000000000000000000000000000000000010000000001000000000010000,1101110001111000000111101110111100000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000001001000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000110000000000000000000000000011110000001000001010000001000000000000000000000001100001011001110010111010000000001101011001000001100100000111101000000000110010010001010100000000011101011011111001011011000000001000000001000001000000000000110010000100000000100000000100010001000100000011010111000001000110110010000111001100110101111101010110010110101001110111001111000011001001000001010011011110110000100011011100010111001100001111001100001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Chloramphenicol,00000000000000000000000010000000000000000000000001000110100000010000001100000000001000000110101100000011100101110000010100101000001101111001101000101001111111110111110,01000000000000000000000000010000000000000000000000000000000001000000000000000000100000000000000000000000000000000000010000000000100000000010000000010000000000000000000000010000000000000000000000000000000100000000001000001010000100000000000001000000001000000100000000000000010000100000000000000101000000000000000010000110000000100000000001000100000000000000100000000000000000110000010000000000000000000010000000000000000000000001000000000000000000000100000000000000000000100000000000100000000000000000000000000000,0100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000101000010000000000000000000000100000000000000000000000000000000000000000010000000000000000000000001000000000000000000000010000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000010000000000010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000001000000000000000100000000000000010000100000000000000001000000000000000010000100000000100000000001000000000000000000000000000000000000100000010000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1101110001110000000111001100111000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000011110000000100001010000001000000000000000000000001100001111111110000110011000110001100011000011000000100000101101000001000010000000001000100100000010001001010101001001010011000000001000001000000000000000000010000000000010000000000010100010001000100000000000100001101100100010100100101000110110001000101000000010010001100100011100010001110000000000000110010111010110000000011001100011011000000001111001000011010000101000010000111000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Ciprofloxacin,00000000000000000000001000000000000000000010000000000000000000100100000000010001101001110101000001101100110100010100001011110101110101111111001111111011111011110111110,00000000000001000000000100000000000000000000010000000000000000000100000000000000000000000010000000000000000000001000100000000000000000000010000000000000000000000000100000000000000000000001000001000000010000000000000000000000000000010000000000000000000001000000000000000001000000000000100000001001000001001100100000100000000000100000010001100000000000000000100000010000100000100000010000000100100000000000000100000010000000010000000000000000000000000000010110000010100000000000000000001000000010000000000000010000,0000000000000000000000010000000000000000000001000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000100000000000010000000000000000100010010000010000000000010000001000010000000000000000010000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000001001000000010000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000001000001000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000001000000000000000000000000000000001000000000000000000000000010000100000100000010000000000100000000000000000000010000000010000000000000000000000000000000100000010000000000000000000001000000000000000000000010000,1101110001111000000111101100110001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000011110001000000100000000000000000000000000000000000000000000000000000001000000100000000000000000000000000011111000000000001000000001000000000000000000000001100001011001100000110011000000011000011000011001000100000111100000000000010000000001000100000000010101001001101011001001000000000001000001000000000000000000010010100000010000000000000000010001000100000010000100001100100110010000000100001100100001111101100100011010100110100011001010001100001100010000110010010110000000000001100100011011001110001111001100011011001101000111001111000001000000000000000000000000000000001000000001000000000000000000001000000000000000000000000000000001000000001000000000000000000000000000000000000000000000000000000000000000000
Clarithromycin,00000000000000000000000000000000000000000000000000000010010000000010000010100000000001100111010101100100000010011011100010110011000111001101110101101110101111111101110,00000000001000000000000000000010010010000010000010000000000000000000000000000000100000000000010000011000000000000000000000000000001010000111100110000100100000000000000100000001000000010000000001000000000000100010000000000000000100010100001000110001001010000000000000001100000000100100010001000011000100000000000000100100000000000100000000000010000001000000110000000000010100100000000001000000000000000001000000000010000000000010011000000010000000001000000100000001000100000010000000000100000000000000000000010000,0000000000000000000000000000001001001000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000100000001110000000010010000000000000000000000000000000000000000100000000000010000000000000000000000001010000000010000000100000000000000000110000000010010001000100001000010000000000000010010000000000000000000000001000000100000011000000000000010000000000000000000000000000000100000000000000000000001000100000001000000000000000000000000100010000001000000000010000000000000000000000000000000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000010000011000000000000000000000000000000010000110000110000000000000000000000100000001000000010000000000000000000000000010000000000000000100000000001000010001000010000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000001000000010000000000010000100000000001000000000000000000000000000010000000000000010000000000000000001000000100000000000000000000000000000000000000000000000000010000,1101110001111100000111111000111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010010001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000001000000000000000000000001101011111001111000110000000000001110000001000001000000000110000000000000110000000000000100000000000100000001001000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000010000100000000000000000000001001100010000000101100000000010000000000000000010011001000000000000000000011100100000000000000001011100000000000000011100101011101100111111001100111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Clindamycin,00000000000000000000000000000000000000000000000000000110010000001000000010010001010101101111110111101001000110110011111011100001010100100101111100111111111111111101110,01000000000001000001000000000100010100000000000000000000000001000100000000000000100000000000000100000000000000000000110001000000100000000010000110010000000000000000000000000001010000000000000001000000000000000000000000000000000100000100000000010000000000000000000000001000000000000011100000000011001000000000000000000000100000000000000000000000001000000000000000000000100000000000010101001000001000000011000000000010000000010000100001000000001000000000000000000001000000000000000000000010000001000000000001011000,0100000000000100000000000000010001010000000000000000000000000000010000000000000010000000000000000000000000000000000011000100000010000000000000010000000000000000000000000000000100000000000000000100000000000000000000000000000000000000010000000001000000000000000000000000100000000000000100000000001000100000000000000000000000000000000000000000000000100000000000000000000010000000000000000000100000100000000100000000000000000000000010000100000000100000000000000000000100000000000000000000001000000100000000000000000000000000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000010000010010000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010100000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000010101000000000000000010000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001011000,1101110001111100000111101100111000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000001100001000000001000000000000000000000001101001111111110010111000000010001101000001000000000000000111100000000000110000010000000100000000000000000010001000000010000000000000000000000000000000000000000000000000000000100000000000000000000100000011000100000000010000000000000001101010000000100100010000110000000001000000101011101000000000000000000011100010110000000001001001100000000000000011111100011011001101000111000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Colistin,00000000000000000000000000000000000000000000000000000110000000000000000000100001101010000111100101001000100010110011111011000001110111001111111100110111111111111100110,01000000101000000000000000001010010000000100000000000000000001000000000000000000101000110010001000000001000000000001011000000000100000000010000000010000010001000000000000000001000000100000000000000000000100000000000000000000100100000000000000000000000000000000000000000000000000000111000010000011000001001100100100100000110000010010000100001000000000001001110010010000000100010000010100010000000000000000010000000010000000000000000010011100000000000000001000000000101001000000000010100010000010000000000000110000,0100000000100000000000000000001001000000010000000000000000000000000000000000000010000010001000100000000100000000000101100000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000011100001000001000000100010000000010000001000001000000010000000000000000000110000000000000010000000000000001000000000000000000000000000000000000000000000001110000000000000000100000000000000000000000000010000000001000000000000010000000000000100000000000000000001000000000000000000000000000000001000000000000000000001000010000000000000000000000000000000000000000000000000010000000000000010001000000000000000001000000100000000000000000000100000000000000000000100100000000000000000000000000000000000000000000000000000000000000000001000000001000100100000000110000000010000000001000000000001000010010010000000000010000010100000000000000000000010000000010000000000000000010000000000000000000000000000000101001000000000010000010000000000000000000010000,1101110001111100000111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001000000001000000000000000000000001101001111001110000110000000000001100000001000000000000000101100000000000010000000000000100000000000000000010001000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000011000100000000000000000000000001001010000000101100000000011000000001000000001010001000000000000000000001000110110000000001001000000000000000000010001110010001000000000001000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
