Distance,top_neighbours,nbDrugs,std
correlation,1,12.3291404612159,0.198133177259014
correlation,10,6.69182389937107,0.195856904037307
correlation,30,3.69182389937107,0.120734538199143
correlation,5,8.79664570230608,0.208804099294176
correlation,50,2.78825995807128,0.0928066147252059
cosine,1,12.3165618448637,0.198686727803602
cosine,10,6.69392033542977,0.196750019388028
cosine,30,3.69392033542977,0.12217803396794
cosine,5,8.79245283018868,0.208478785757455
cosine,50,2.80293501048218,0.0933710929479621
euclidean,1,12.3480083857442,0.194938763113243
euclidean,10,6.78825995807128,0.193912407568334
euclidean,30,3.66247379454927,0.124133241788
euclidean,5,8.81761006289308,0.207660448944193
euclidean,50,2.71278825995807,0.0914690898587255
random,1,11.1333333333333,0.0450654153867095
random,10,1.73123689727463,0.0103620435167997
random,30,1.18314465408805,0.00422979584903107
random,5,2.6441928721174,0.0189713637569676
random,50,1.09199161425577,0.00286859056316845
