top_drugs,precision,std,Model
1,0.966457023060797,0.00825255825337422,Logistic regression
3,0.970338983050847,0.00491137565264963,Logistic regression
5,0.964731182795699,0.00490056455825877,Logistic regression
1,0.830188679245283,0.0172094997765583,Random forest
3,0.847457627118644,0.0109328853411055,Random forest
5,0.853763440860215,0.0100554437177869,Random forest
