V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125
cotrimoxazole,-0.007022302,-0.005515376,-0.003855694,-0.0008041253,0.003337617,4.362892e-05,-0.005592613,-0.005426486,-0.002055233,-0.005250493,0.005940084,0.0001514283,-2.46878e-05,0.003021538,-0.0004740866,0.004588377,0.008099911,0.002870652,-0.004337327,-0.008016514,-0.00394256,0.0007765682,-0.0001204512,-0.002959226,-0.001781924,0.00776014,-0.005195862,-0.001268305,-0.0022889,0.002264747,-0.001249327,-0.0037471966,-0.0069974884,0.0012408726,0.0077225268,-0.0029125123,-0.0021965175,0.0009296266,-0.0050462079,0.0047733975,0.0006457802,0.0032151777,-0.0066900807,0.0048421808,-0.0076818243,0.0040573464,0.0047755744,0.0008997093,0.0029693085,-0.0047214553,-0.0030257397,0.005569981,-0.0013013171,0.0074699861,-0.0002080623,-0.0060417494,0.0074412883,-0.0054796445,-0.0031168307,0.006866199,0.0029030552,0.0052522351,-0.0035441099,-0.0038262142,0.007277274,-0.0049221716,-0.0007723114,0.0082041882,-0.00647088,-0.0035990323,0.0056565502,-0.0037322482,-0.0044784327,0.008162776,0.0037300966,-0.0020292164,0.0029184369,-0.0041323891,-0.0063931774,-0.0057760044,-0.0044588349,-0.0033561396,0.0041389824,0.0046250559,0.0006492001,-0.00060894,0.0036923469,0.0074840128,-0.0022117156,0.0044465712,0.0036433635,0.0012667168,0.0031410749,0.0038104041,0.00803676434,0.00358565268,0.00457491353,-0.00728859287,-0.00390637713,-0.00659333728,-0.00162527408,-0.0037537294,2.13842577e-05,-0.00106194988,0.00688295811,0.00716884248,0.00296958466,0.00366292382,0.00383248297,-0.00710684853,0.000107059379,-0.00366237154,-0.00263201306,-0.00502507156,-0.00213471684,0.00695530884,-0.0031893691,0.00726939645,-0.00643713307,-0.00511661125,0.00529538654,-0.00515638711,0.0076612602,0.00537673524
fosfomycin,-0.006628373,-0.00520598,-0.003639402,-0.0007590165,0.003150386,4.118147e-05,-0.005278886,-0.005122077,-0.00193994,-0.004955957,0.005606862,0.0001429337,-2.330289e-05,0.002852039,-0.0004474918,0.004330982,0.00764553,0.002709617,-0.004094015,-0.007566812,-0.003721394,0.0007330052,-0.0001136942,-0.002793222,-0.001681964,0.00732482,-0.004904388,-0.001197157,-0.0021605,0.002137702,-0.001179243,-0.0035369906,-0.0066049504,0.0011712634,0.0072893156,-0.0027491294,-0.0020732991,0.0008774775,-0.0047631301,0.004505625,0.0006095539,0.0030348161,-0.0063147894,0.0045705489,-0.0072508967,0.0038297407,0.0045076795,0.0008492384,0.0028027392,-0.004456596,-0.0028560043,0.0052575222,-0.0012283173,0.0070509426,-0.0001963906,-0.0057028271,0.0070238546,-0.0051722531,-0.0029419865,0.0064810258,0.0027402032,0.0049576024,-0.0033452958,-0.0036115746,0.0068690404,-0.0046460531,-0.0007289873,0.0077439584,-0.0061078835,-0.0033971379,0.0053392351,-0.0035228804,-0.0042272066,0.0077048671,0.0035208499,-0.0019153835,0.0027547213,-0.0039005752,-0.0060345381,-0.0054519884,-0.0042087059,-0.0031678698,0.0039067985,0.0043656048,0.0006127821,-0.0005747803,0.0034852175,0.0070641814,-0.0020876462,0.0041971346,0.0034389824,0.0011956578,0.0029648703,0.0035966523,0.0075859274,0.0033845084,0.0043182741,-0.006879725,-0.0036872411,-0.0062234704,-0.001534101,-0.0035431562,2.0184658e-05,-0.0010023779,0.0064968443,0.0067666923,0.0028029999,0.0034574459,0.0036174925,-0.0067081759,0.00010105368,-0.0034569243,-0.0024843651,-0.0047431802,-0.0020149658,0.0065651382,-0.0030104553,0.0068616043,-0.006076029,-0.0048295856,0.004998331,-0.0048671309,0.0072314851,0.0050751171
minocycline,-0.006856822,-0.005385406,-0.003764836,-0.0007851763,0.003258966,4.26008e-05,-0.005460824,-0.005298611,-0.002006801,-0.005126766,0.005800106,0.0001478599,-2.410603e-05,0.002950335,-0.0004629148,0.004480252,0.007909034,0.002803006,-0.004235118,-0.007827604,-0.003849654,0.0007582688,-0.0001176128,-0.002889492,-0.001739933,0.007577271,-0.005073419,-0.001238418,-0.002234963,0.002211378,-0.001219887,-0.0036588942,-0.0068325931,0.0012116316,0.0075405459,-0.0028438794,-0.002144757,0.0009077202,-0.0049272943,0.0046609133,0.0006305624,0.0031394123,-0.0065324306,0.0047280747,-0.0075008022,0.003961734,0.0046630367,0.0008785077,0.0028993364,-0.0046101948,-0.0029544379,0.0054387245,-0.0012706516,0.0072939559,-0.0002031593,-0.0058993762,0.0072659357,-0.0053505171,-0.0030433822,0.006704398,0.0028346453,0.0051284684,-0.0034605926,-0.0037360492,0.0071057845,-0.004806181,-0.000754112,0.0080108577,-0.0063183955,-0.0035142216,0.0055232546,-0.0036442983,-0.0043728999,0.0079704178,0.0036421975,-0.0019813983,0.0028496643,-0.0040350109,-0.0062425202,-0.0056398935,-0.0043537598,-0.003277052,0.0040414487,0.0045160661,0.0006339017,-0.0005945904,0.0036053371,0.0073076524,-0.0021595969,0.0043417905,0.003557509,0.0012368668,0.0030670559,0.0037206123,0.007847378,0.0035011577,0.0044671046,-0.0071168388,-0.0038143236,-0.0064379652,-0.0015869744,-0.0036652724,2.088033e-05,-0.0010369251,0.0067207594,0.0069999085,0.0028996065,0.0035766081,0.0037421708,-0.0069393758,0.00010453653,-0.0035760677,-0.00256999,-0.0049066558,-0.0020844124,0.0067914082,-0.0031142123,0.0070980946,-0.0062854411,-0.0049960404,0.0051706005,-0.0050348788,0.007480721,0.0052500335
norfloxacin,-0.006782192,-0.005326791,-0.003723859,-0.0007766303,0.003223495,4.213714e-05,-0.005401388,-0.00524094,-0.001984959,-0.005070966,0.005736977,0.0001462507,-2.384366e-05,0.002918224,-0.0004578764,0.004431488,0.007822955,0.002772497,-0.004189021,-0.007742409,-0.003807754,0.0007500156,-0.0001163327,-0.002858043,-0.001720995,0.0074948,-0.0050182,-0.001224939,-0.002210637,0.00218731,-0.001206609,-0.0036190706,-0.0067582261,0.0011984439,0.0074584726,-0.0028129267,-0.0021214124,0.0008978406,-0.004873666,0.0046101841,0.0006236994,0.0031052432,-0.0064613326,0.004676614,-0.0074191624,0.0039186138,0.0046122852,0.0008689461,0.0028677802,-0.0045600175,-0.0029222812,0.0053795287,-0.0012568217,0.0072145672,-0.0002009481,-0.0058351676,0.0071868519,-0.005292282,-0.0030102592,0.0066314265,0.0028037929,0.00507265,-0.0034229269,-0.0036953855,0.0070284461,-0.0047538709,-0.0007459042,0.0079236673,-0.0062496248,-0.0034759725,0.0054631387,-0.0036046328,-0.0043253042,0.0078836689,0.0036025555,-0.0019598322,0.0028186487,-0.0039910921,-0.006174576,-0.0055785072,-0.0043063737,-0.0032413839,0.0039974619,0.0044669122,0.0006270024,-0.0005881186,0.0035660963,0.0072281142,-0.0021360929,0.0042945347,0.0035187877,0.0012234044,0.0030336736,0.0036801167,0.0077619674,0.0034630504,0.0044184853,-0.007039377,-0.0037728078,-0.0063678934,-0.0015697018,-0.0036253789,2.0653068e-05,-0.0010256392,0.006647612,0.0069237216,0.002868047,0.00353768,0.0037014408,-0.0068638464,0.00010339874,-0.0035371471,-0.002542018,-0.0048532519,-0.0020617254,0.0067174891,-0.0030803159,0.0070208353,-0.0062170294,-0.0049416614,0.0051143225,-0.004980077,0.0073992996,0.0051928912
ceftazidime,-0.006775952,-0.005321889,-0.003720433,-0.000775916,0.003220529,4.209836e-05,-0.00539642,-0.005236119,-0.001983133,-0.0050663,0.005731699,0.000146116,-2.382172e-05,0.002915539,-0.0004574551,0.00442741,0.007815757,0.002769946,-0.004185169,-0.007735285,-0.003804252,0.0007493254,-0.0001162256,-0.002855413,-0.001719412,0.007487906,-0.005013583,-0.001223812,-0.002208603,0.002185297,-0.001205499,-0.0036157409,-0.006752009,0.0011973411,0.0074516106,-0.0028103383,-0.0021194606,0.0008970144,-0.0048691807,0.0046059424,0.0006231257,0.0031023854,-0.0064553875,0.0046723112,-0.0074123372,0.0039150091,0.0046080425,0.0008681464,0.0028651417,-0.00455582,-0.0029195929,0.0053745802,-0.0012556658,0.007207931,-0.0002007632,-0.0058298009,0.0071802405,-0.0052874116,-0.0030074895,0.0066253264,0.0028012132,0.0050679822,-0.003419779,-0.0036919857,0.0070219785,-0.0047494974,-0.0007452181,0.0079163788,-0.0062438762,-0.003472775,0.0054581137,-0.0036013164,-0.0043213246,0.0078764148,0.0035992411,-0.0019580291,0.0028160547,-0.0039874204,-0.0061688963,-0.0055733784,-0.0043024127,-0.0032384016,0.0039937841,0.0044628046,0.0006264255,-0.0005875778,0.0035628155,0.0072214655,-0.0021341268,0.0042905831,0.0035155513,0.0012222789,0.0030308834,0.0036767318,0.007754826,0.0034598648,0.0044144201,-0.007032901,-0.0037693372,-0.0063620368,-0.0015682576,-0.0036220439,2.0634068e-05,-0.0010246958,0.0066414955,0.0069173514,0.0028654088,0.0035344255,0.0036980347,-0.0068575321,0.00010330364,-0.0035338921,-0.0025396799,-0.0048487857,-0.0020598294,0.0067113102,-0.0030774826,0.0070143766,-0.0062113102,-0.0049371156,0.0051096184,-0.0049754987,0.0073924935,0.0051881135
voriconazole,-0.006813669,-0.005351512,-0.003741142,-0.0007802348,0.003238455,4.23327e-05,-0.005426458,-0.005265265,-0.001994171,-0.005094502,0.005763602,0.0001469294,-2.395432e-05,0.002931767,-0.0004600014,0.004452055,0.007859263,0.002785364,-0.004208463,-0.007778343,-0.003825426,0.0007534962,-0.0001168726,-0.002871307,-0.001728983,0.007529585,-0.00504149,-0.001230624,-0.002220896,0.002197461,-0.001212209,-0.0036358673,-0.0067895916,0.001204006,0.0074930885,-0.0028259817,-0.0021312579,0.0009020074,-0.0048962831,0.0046315794,0.0006265941,0.0031196545,-0.0064913183,0.0046983189,-0.0074535953,0.0039368006,0.0046336921,0.0008729789,0.0028810904,-0.0045811809,-0.0029358447,0.0054044956,-0.001262655,0.0072480524,-0.0002018807,-0.0058622495,0.0072202068,-0.0053168437,-0.00302423,0.0066622039,0.0028168056,0.0050961934,-0.0034388138,-0.0037125368,0.0070610661,-0.0047759344,-0.0007493661,0.0079604387,-0.0062786308,-0.0034921048,0.0054884935,-0.0036213626,-0.0043453788,0.0079202577,0.0036192753,-0.0019689281,0.0028317296,-0.0040096156,-0.0062032333,-0.0056043998,-0.0043263598,-0.0032564276,0.0040160152,0.0044876453,0.0006299124,-0.0005908483,0.0035826468,0.0072616609,-0.0021460068,0.0043144654,0.0035351184,0.0012290823,0.0030477531,0.00369719649,0.00779799372,0.00347912195,0.00443899119,-0.00707204873,-0.00379031803,-0.00639744662,-0.00157698686,-0.00364220561,2.07489193e-05,-0.00103039935,0.00667846203,0.00695585599,0.00288135791,0.00355409924,0.0037186197,-0.00689570233,0.000103878643,-0.0035535628,-0.00255381595,-0.00487577589,-0.00207129377,0.00674866652,-0.00309461285,0.00705342041,-0.00624588411,-0.00496459659,0.00513805961,-0.00500319153,0.00743363984,0.00521699153
metronidazole,-0.006635766,-0.005211787,-0.003643462,-0.0007598632,0.0031539,4.122741e-05,-0.005284775,-0.00512779,-0.001942104,-0.004961485,0.005613117,0.0001430931,-2.332888e-05,0.00285522,-0.0004479909,0.004335813,0.007654058,0.002712639,-0.004098582,-0.007575253,-0.003725545,0.0007338229,-0.0001138211,-0.002796338,-0.00168384,0.00733299,-0.004909858,-0.001198493,-0.00216291,0.002140086,-0.001180559,-0.0035409357,-0.0066123181,0.0011725699,0.0072974465,-0.0027521963,-0.0020756116,0.0008784564,-0.0047684433,0.0045106504,0.0006102338,0.0030382015,-0.0063218339,0.0045756474,-0.0072589847,0.0038340127,0.0045127072,0.0008501857,0.0028058656,-0.0044615674,-0.0028591901,0.0052633868,-0.0012296874,0.0070588076,-0.0001966097,-0.0057091885,0.0070316903,-0.0051780222,-0.0029452683,0.0064882552,0.00274326,0.004963133,-0.0033490276,-0.0036156033,0.0068767029,-0.0046512359,-0.0007298005,0.0077525964,-0.0061146971,-0.0034009276,0.0053451913,-0.0035268099,-0.0042319228,0.0077134618,0.0035247775,-0.00191752,0.0027577942,-0.0039049261,-0.0060412693,-0.0054580709,-0.0042134011,-0.0031714034,0.0039111567,0.0043704743,0.0006134657,-0.0005754215,0.0034891055,0.0070720613,-0.0020899749,0.0042018169,0.0034428188,0.0011969917,0.0029681774,0.0036006647,0.0075943889,0.0033882838,0.0043230909,-0.0068873996,-0.0036913541,-0.006230413,-0.0015358124,-0.0035471085,2.0207173e-05,-0.0010034962,0.0065040919,0.0067742402,0.0028061268,0.0034613027,0.0036215275,-0.0067156586,0.0001011664,-0.0034607805,-0.0024871363,-0.0047484711,-0.0020172133,0.0065724622,-0.0030138132,0.0068692593,-0.0060828072,-0.0048349733,0.0050039068,-0.00487256,0.0072395517,0.0050807782
ceftriaxone,-0.006817099,-0.005354208,-0.003743025,-0.0007806276,0.003240086,4.235401e-05,-0.005429189,-0.005267915,-0.001995175,-0.005097067,0.005766504,0.0001470034,-2.396638e-05,0.002933244,-0.000460233,0.004454296,0.007863218,0.002786766,-0.004210582,-0.007782259,-0.003827352,0.0007538759,-0.0001169314,-0.002872753,-0.001729853,0.007533375,-0.005044028,-0.001231244,-0.002222015,0.002198568,-0.001212819,-0.0036376971,-0.006793011,0.0012046123,0.0074968622,-0.0028274043,-0.0021323313,0.0009024615,-0.0048987488,0.0046339119,0.0006269095,0.0031212249,-0.0064945868,0.0047006831,-0.007457348,0.0039387834,0.0046360246,0.0008734185,0.0028825407,-0.0045834868,-0.0029373225,0.0054072174,-0.0012632908,0.0072517018,-0.0002019824,-0.0058652013,0.0072238427,-0.0053195204,-0.0030257523,0.0066655576,0.002818224,0.0050987564,-0.0034405447,-0.0037144062,0.0070646205,-0.0047783381,-0.0007497434,0.007964449,-0.0062817908,-0.0034938629,0.0054912562,-0.0036231857,-0.0043475661,0.0079242438,0.0036210974,-0.0019699191,0.0028331559,-0.0040116343,-0.0062063574,-0.0056072213,-0.0043285382,-0.0032580674,0.0040180362,0.0044899047,0.0006302296,-0.0005911457,0.0035844503,0.0072653168,-0.0021470867,0.0043166382,0.0035368993,0.0012297011,0.003049288,0.0036990582,0.00780191878,0.00348087377,0.0044412259,-0.00707560917,-0.00379222585,-0.00640066899,-0.00157778058,-0.00364403939,2.07593657e-05,-0.00103091833,0.0066818255,0.00695935637,0.00288280868,0.00355588784,0.00372049189,-0.00689917617,0.000103930928,-0.00355535187,-0.00255510118,-0.00487823132,-0.00207233755,0.00675206399,-0.00309617002,0.00705697294,-0.00624902826,-0.00496709486,0.00514064729,-0.00500571029,0.00743738422,0.00521961879
ciprofloxacin,-0.006772187,-0.005318932,-0.003718364,-0.0007754847,0.003218739,4.207497e-05,-0.005393421,-0.005233209,-0.00198203,-0.005063484,0.005728513,0.0001460349,-2.380847e-05,0.002913918,-0.0004572008,0.004424951,0.007811412,0.002768407,-0.004182841,-0.007730987,-0.003802136,0.000748909,-0.000116161,-0.002853826,-0.001718457,0.007483744,-0.005010797,-0.001223132,-0.002207375,0.002184083,-0.001204829,-0.0036137309,-0.0067482553,0.0011966757,0.007447469,-0.0028087762,-0.0021182832,0.0008965159,-0.0048664752,0.0046033822,0.0006227793,0.0031006616,-0.0064517995,0.0046697138,-0.0074082175,0.003912834,0.0046054809,0.0008676642,0.0028635494,-0.0045532891,-0.0029179703,0.0053715925,-0.0012549679,0.0072039245,-0.0002006516,-0.0058265589,0.0071762484,-0.0052844733,-0.003005818,0.0066216411,0.0027996565,0.0050651664,-0.0034178779,-0.0036899345,0.0070180758,-0.0047468571,-0.0007448039,0.0079119764,-0.0062404051,-0.003470845,0.0054550781,-0.0035993147,-0.0043189232,0.0078720367,0.0035972404,-0.0019569411,0.0028144894,-0.0039852043,-0.0061654677,-0.0055702794,-0.0043000211,-0.0032366018,0.0039915633,0.004460325,0.0006260775,-0.0005872512,0.003560835,0.0072174501,-0.002132941,0.0042881989,0.003513597,0.0012215998,0.0030291984,0.00367468782,0.00775051629,0.00345794065,0.00441196701,-0.00702899229,-0.00376724196,-0.00635849964,-0.00156738586,-0.00362003059,2.06225941e-05,-0.00102412619,0.00663780468,0.00691350736,0.00286381505,0.00353246089,0.00369598041,-0.0068537211,0.000103246202,-0.00353192771,-0.00253826776,-0.00484609185,-0.00205868366,0.00670757936,-0.0030757722,0.00701047899,-0.00620785821,-0.00493437191,0.00510677835,-0.00497273216,0.00738838455,0.0051852297
vancomycin,-0.01036743,-0.008142667,-0.005692382,-0.001187177,0.004927516,6.441188e-05,-0.008256697,-0.008011431,-0.003034257,-0.007751605,0.008769684,0.0002235624,-3.644801e-05,0.004460869,-0.0006999213,0.006774081,0.01195836,0.004238107,-0.006403446,-0.01183524,-0.005820626,0.001146493,-0.000177829,-0.004368875,-0.002630757,0.01145674,-0.007670942,-0.001872471,-0.003379235,0.003343575,-0.001844452,-0.0055322023,-0.0103307907,0.0018319716,0.0114012081,-0.0042999107,-0.0032428424,0.0013724611,-0.0074500046,0.007047243,0.0009534019,0.0047467533,-0.0098769544,0.0071487883,-0.0113411155,0.0059900908,0.0070504528,0.0013282918,0.0043837586,-0.006970556,-0.004467071,0.008223285,-0.0019212092,0.011028368,-0.0003071741,-0.0089197829,0.0109860031,-0.0080899103,-0.0046015568,0.0101369619,0.004285946,0.0077541769,-0.0052323714,-0.0056488588,0.0107438546,-0.0072668837,-0.0011402072,0.0121123139,-0.0095533328,-0.0053134593,0.0083510894,-0.0055101314,-0.0066117663,0.0120511726,0.0055069551,-0.0029958482,0.0043086549,-0.0061008837,-0.0094386097,-0.0085274503,-0.0065828306,-0.0049548577,0.0061106184,0.0068282341,0.0009584515,-0.000899013,0.0054512234,0.0110490713,-0.0032652845,0.0065647312,0.0053789057,0.0018701258,0.0046373494,0.00562551804,0.0118651371,0.00529370364,0.00675420556,-0.0107605681,-0.00576720713,-0.00973411743,-0.00239948486,-0.00554184383,3.15707948e-05,-0.00156781822,0.0101616988,0.0105837723,0.00438416749,0.00540778413,0.00565811619,-0.0104922475,0.000158057868,-0.00540697156,-0.00388579024,-0.00741879921,-0.0031516056,0.0102685243,-0.00470864633,0.0107322223,-0.00950350612,-0.00755394716,0.00781788025,-0.00761267263,0.0113107488,0.00793798268
itraconazole,-0.007606051,-0.005973858,-0.00417621,-0.0008709707,0.003615065,4.725568e-05,-0.006057516,-0.005877578,-0.002226079,-0.005686956,0.00643387,0.0001640162,-2.674004e-05,0.00327271,-0.0005134962,0.004969796,0.008773236,0.003109283,-0.004697878,-0.008682908,-0.004270298,0.0008411228,-0.000130464,-0.00320522,-0.001930051,0.008405224,-0.00562778,-0.001373737,-0.002479171,0.00245301,-0.001353181,-0.0040586931,-0.007579173,0.0013440239,0.0083644819,-0.003154624,-0.0023791085,0.0010069045,-0.0054656873,0.0051702014,0.0006994624,0.0034824486,-0.0072462144,0.0052447016,-0.0083203958,0.0043946239,0.0051725586,0.0009745003,0.0032161407,-0.0051139388,-0.0032772624,0.006033001,-0.0014094927,0.0080909515,-0.000225358,-0.0065439865,0.0080598667,-0.0059351549,-0.0033759263,0.0074369698,0.0031443816,0.0056888433,-0.0038387242,-0.0041442779,0.0078822179,-0.0053313421,-0.0008365121,0.0088861855,-0.0070087877,-0.0038982134,0.006126767,-0.004042502,-0.0048507154,0.0088413274,0.0040401723,-0.0021979003,0.0031610406,-0.0044759065,-0.0069246241,-0.006256151,-0.0048294845,-0.003635129,0.0044830479,0.0050095269,0.0007031667,-0.0006595597,0.0039992845,0.0081061395,-0.0023955712,0.0048162076,0.0039462289,0.0013720159,0.0034021854,0.0041271555,0.0087048421,0.0038837192,0.0049552172,-0.0078944797,-0.0042311056,-0.0071414271,-0.0017603798,-0.0040657693,2.3161876e-05,-0.0011502279,0.0074551227,0.007764772,0.0032164389,0.003967416,0.0041510682,-0.0076976256,0.00011595898,-0.0039668172,-0.0028508066,-0.0054427949,-0.0023121706,0.0075334888,-0.0034544943,0.0078736842,-0.006972237,-0.0055419458,0.0057355808,-0.0055850302,0.0082981223,0.0058236918
amikacin,-0.007397878,-0.005810355,-0.00406191,-0.0008471328,0.003516123,4.596233e-05,-0.005891727,-0.005716711,-0.002165152,-0.005531307,0.006257778,0.0001595272,-2.600818e-05,0.003183139,-0.0004994424,0.004833777,0.008533118,0.003024184,-0.004569301,-0.008445266,-0.004153421,0.0008181019,-0.0001268933,-0.003117496,-0.001877228,0.008175179,-0.005473752,-0.001336138,-0.002411318,0.002385873,-0.001316145,-0.0039476077,-0.0073717372,0.0013072384,0.0081355507,-0.0030682832,-0.0023139929,0.0009793465,-0.0053160959,0.0050286963,0.0006803187,0.0033871366,-0.0070478893,0.0051011573,-0.0080926716,0.0042743469,0.0050309869,0.0009478288,0.003128116,-0.0049739727,-0.0031875649,0.0058678812,-0.0013709156,0.0078695072,-0.0002191901,-0.0063648839,0.0078392727,-0.0057727131,-0.00328353,0.007233426,0.0030583211,0.0055331439,-0.0037336587,-0.0040308517,0.0076664854,-0.0051854258,-0.0008136173,0.0086429715,-0.0068169655,-0.0037915204,0.0059590829,-0.0039318614,-0.0047179554,0.0085993446,0.0039295941,-0.0021377457,0.003074524,-0.0043534036,-0.0067351041,-0.006084925,-0.0046973047,-0.0035356372,0.0043603494,0.0048724185,0.0006839214,-0.000641508,0.0038898257,0.0078842789,-0.0023300066,0.0046843924,0.0038382234,0.0013344652,0.0033090704,0.00401419681,0.00846659765,0.00377742387,0.00481959572,-0.00767841097,-0.00411530165,-0.00694596721,-0.00171219895,-0.00395449018,2.25279509e-05,-0.00111874635,0.00725107966,0.00755225495,0.00312840682,0.00385882915,0.00403745798,-0.00748694642,0.000112785245,-0.003858248,-0.0027727827,-0.0052938289,-0.00224888814,0.00732730143,-0.00335994712,0.0076581873,-0.00678140996,-0.00539026316,0.0055786008,-0.00543216849,0.00807100348,0.00566430204
tobramycin,-0.007234678,-0.005682178,-0.003972303,-0.000828445,0.003438556,4.49484e-05,-0.005761751,-0.005590602,-0.002117389,-0.005409284,0.006119731,0.0001560081,-2.543443e-05,0.003112918,-0.0004884245,0.004727144,0.008344877,0.00295747,-0.004468499,-0.008258959,-0.004061796,0.0008000544,-0.000124094,-0.003048722,-0.001835815,0.00799483,-0.005352999,-0.001306663,-0.002358124,0.00233324,-0.00128711,-0.0038605246,-0.0072091147,0.0012784004,0.007956082,-0.0030005958,-0.0022629467,0.0009577415,-0.0051988205,0.0049177599,0.0006653108,0.0033124152,-0.0068924124,0.0049886247,-0.0079141455,0.0041800518,0.0049200016,0.0009269195,0.0030591097,-0.004864248,-0.0031172472,0.0057384358,-0.0013406731,0.0076959026,-0.0002143547,-0.0062244735,0.0076663354,-0.0056453678,-0.0032110934,0.0070738541,0.0029908528,0.005411081,-0.0036512946,-0.0039419294,0.0074973605,-0.0050710347,-0.0007956689,0.0084523102,-0.0066665788,-0.0037078797,0.0058276216,-0.0038451231,-0.0046138759,0.0084096417,0.0038429066,-0.0020905861,0.0030067004,-0.0042573661,-0.0065865265,-0.0059506907,-0.0045936797,-0.0034576391,0.0042641605,0.0047649304,0.0006688342,-0.0006273563,0.0038040148,0.0077103535,-0.0022786055,0.0045810519,0.0037535508,0.0013050259,0.0032360712,0.00392564293,0.00827982184,0.00369409495,0.00471327361,-0.00750902388,-0.00402451865,-0.00679273997,-0.00167442742,-0.00386725366,2.20309739e-05,-0.00109406712,0.00709111849,0.00738565112,0.00305939349,0.00377370371,0.00394839048,-0.00732178334,0.000110297195,-0.0037731342,-0.00271161366,-0.00517704431,-0.00219927798,0.00716566155,-0.00328582595,0.00748924492,-0.00663181162,-0.00527135283,0.0054555363,-0.00531233288,0.00789295882,0.00553934742
meropenem,-0.006776273,-0.005322142,-0.003720609,-0.0007759527,0.003220682,4.210036e-05,-0.005396675,-0.005236366,-0.001983227,-0.005066541,0.005731971,0.000146123,-2.382285e-05,0.002915677,-0.0004574768,0.00442762,0.007816127,0.002770078,-0.004185367,-0.007735652,-0.003804431,0.000749361,-0.0001162312,-0.002855548,-0.001719494,0.00748826,-0.00501382,-0.00122387,-0.002208708,0.002185401,-0.001205556,-0.0036159127,-0.006752328,0.0011973982,0.0074519645,-0.0028104717,-0.0021195617,0.0008970569,-0.0048694103,0.0046061608,0.000623155,0.0031025331,-0.0064556934,0.0046725329,-0.0074126874,0.0039151944,0.0046082614,0.0008681878,0.0028652777,-0.004556037,-0.002919731,0.0053748335,-0.0012557249,0.0072082723,-0.0002007727,-0.0058300756,0.0071805799,-0.0052876645,-0.0030076315,0.0066256383,0.0028013459,0.005068223,-0.0034199406,-0.0036921601,0.0070223119,-0.0047497209,-0.0007452533,0.0079167513,-0.0062441695,-0.0034729389,0.0054583699,-0.003601488,-0.0043215281,0.0078767883,0.0035994123,-0.001958122,0.0028161886,-0.0039876108,-0.0061691892,-0.0055736401,-0.0043026144,-0.003238556,0.0039939727,0.0044630151,0.0006264552,-0.0005876057,0.0035629843,0.0072218073,-0.0021342281,0.0042907875,0.0035157176,0.0012223367,0.0030310259,0.0036769058,0.0077551943,0.003460028,0.0044146297,-0.0070332345,-0.0037695151,-0.0063623362,-0.001568332,-0.0036222155,2.0635041e-05,-0.0010247442,0.0066418108,0.0069176806,0.0028655438,0.0035345927,0.0036982107,-0.006857859,0.00010330851,-0.0035340604,-0.0025397998,-0.0048490157,-0.002059926,0.0067116283,-0.0030776286,0.0070147095,-0.006211604,-0.004937348,0.0051098592,-0.004975732,0.0073928437,0.0051883594
